AGL23	BIOGENESIS OF ORGANELLES
IPMS1	VALINE CONTENT
PYK10	WOUNDING SITE
PLDDELTA	PHOSPHATIDIC ACID
WILD-TYPE ROOTS	FOR EVERY UNIT OF CARBON RESPIRED OR UNIT OF PHOSPHORUS INVESTED THAN MUTANTS
FURCA GENES	OTHER REGULATORS OF TRICHOME BRANCH INITIATION
CP33B	PSBA MRNA
ATCPFHY1	FMN-SPECIFICITY
DUF295	ANGIOSPERMS
ATHAL3A	GROWTH RATES
ATXR5/ATXR6	REPRESSED HETEROCHROMATIC ELEMENTS
LD	VEGETATIVE STATE
BIK1	BAK1
BZIP4	BHLH109
GENE	PROTEIN
COR413IM	CHLOROPLAST ENVELOPE
KATA GENE	KATAP
RLK	VASCULATURE
BEL1	KNAT PROTEINS
ATNUDX6	PLANT IMMUNE RESPONSE
DCL4	SILENCING IN SYSTEMIC TISSUES
JAZ9	MYC2 INTERACTION FOR NUCLEAR TARGETING
TPI	GSH
TOC1	NUCLEAR PROTEIN
HCF173	TRANSLATION INITIATION OF PSBA MRNA
IRE1B	IMMUNE RESPONSES
BBX24	COP1
ATUSP	ORGAN-SPECIFIC PATTERN
ALF1-1	HYPERPROLIFERATION OF LATERAL ROOTS
AS1-1/AS2-2	BOP1-1 MUTATION
MTS	COPPER TOLERANCE
SUS2/SUS3	PROTEIN STORAGE
CHX TRANSPORTERS	K(+) AND PH HOMEOSTASIS
ARGININE	POLYAMINES
SR1	UBIQUITINATION AND PROTEASOMAL DEGRADATION OF WRKY33
ETT/MP	UORFS
ATTHO3	ENHANCE APASE ACTIVITY
DOUBLE KNOCKOUTS	VASCULAR DEVELOPMENT
MUTANTS	COPPER IN ROOT
POLYCOMB GROUP GENE MEDEA (MEA)	DNA METHYLATION
ATIPT1/3/4-8	ISOPENTENYLADENINE/TZ-TYPE CYTOKININS
PM	CELL WALL MODIFICATION
SNI1	CBNAC
ASML2	ABSCISIC ACID
BRI1	CELL SURFACE RECEPTOR
CYP707A2	LONGER AFTER-RIPENING PERIOD
IP3	FRY1 MUTANT PLANTS
ABP1	PLANT GROWTH
PARL1	SIMILAR TO YEAST NUCLEOLIN
HEC1	FERTILIZATION
RGS BOX	IN VITRO
MICRORNA	MRNA DEGRADATION
NUCLEOPROTEIN COMPLEXES	PLEIOTROPIC FUNCTIONAL PROPERTIES OF ATMSI4/FVE/ACG1
WIN1	CUTIN AND WAX PRODUCTION
GLUCOSE	ROOT LENGTH
ROS	CELLULAR DAMAGE
ANIMALS/BACTERIA	QUINOLINATE
TGD4	PTDOH
AT5G49970 GENE	CONVERSION OF PYRIDOXAMINE 5'-PHOSPHATE (PMP) OR PYRIDOXINE 5'-PHOSPHATE (PNP) TO PYRIDOXAL 5'-PHOSPHATE (PLP)
TPLATE	PHRAGMOPLAST MICROTUBULE ORGANIZATION
GST-ASA1	SITE-DIRECTED MUTAGENESIS
TPX2	AURORA A
SIMKK	CTR1 MUTANTS
ABA	AUXIN SIGNAL
OZS3	LONGER PETIOLES AND EARLY FLOWERING
ATVSP3	ROOTS AND SILIQUES
ACCASE	CARBOXYLATION OF ACETYL-COA
ABC TRANSPORTER	MLO
F6'H1	LIGNIN BIOSYNTHESIS
HIGH HUMIDITY	SA-DEPENDENT PHENOTYPES
PRR3	TOC1 STABILITY
ATSOFL1/2	DWARF PHENOTYPES
DEX1	POLLEN WALL PATTERN FORMATION
ABA	OSCILLATION IN CA(2+) CONCENTRATION
ATCPS1	CHLOROPLASTS
ESM1	NITRILE FORMATION
STROMAL CHAPERONES	
GLU519	ATCNGC11/12 CHANNEL FUNCTION
PRC2	HISTONE MODIFICATIONS
BAT1	BRASSINOLIDE BIOSYNTHETIC INTERMEDIATES
BLUMERIA GRAMINIS F. SP. HORDEI	PENETRATION
F(1)F(0)-ATPASE	STRESS TOLERANCE
GUS ACTIVITY	ALL TISSUES
SIRNAS	NASCENT RNA TRANSCRIPTS
XEG113	GENETIC LOCUS
CARRIER	ADOMET/S-ADENOSYLHOMOCYSTEINE
GA3OX	GA BIOSYNTHESIS
METRS ACTIVITY	MITOCHONDRIA AND CHLOROPLASTS
CCD8/MAX4	SYNTHESIS OF APOCAROTENOID HORMONE
WAKL5/7	WOUNDING STRESS AND 2,6-DICHLOROISONICOTINIC ACID
CUTICLE	OSMOTIC STRESS SIGNALING AND TOLERANCE
MYB52	PECTIN DM
DOWNREGULATION OF NATA	DROUGHT STRESS RESPONSE
SH3P2	ATG PROTEINS
BFA3	MOLECULAR CHAPERONE
ACCASE	DE NOVO FATTY ACID BIOSYNTHESIS
PXC1	SECONDARY CELL WALL FORMATION IN XYLEM FIBERS
NEV	CELL EXPANSION
PEN1	PATHOGEN-INDUCED ENDOCYTOSIS
ATABCG14	TZ-TYPE CYTOKININS
CLPB1	CHAPERONE
ALB3	THYLAKOID MEMBRANE
ATRPC14	PROTEIN
ATHEPS	BIOSYNTHESIS OF DOLICHOLS
WRKY71	LEAF SENESCENCE
LEDET2	CAMPESTENONE, PROGESTERONE, TESTOSTERONE
ATRTF2	EMBRYONIC DEVELOPMENT
EXOGENOUS MELATONIN	CLP, CPHSP, APX1, GST
QKY	
APP1	ROS HOMEOSTASIS
DEK1	POSITIONAL CLUES
DROUGHT STRESS	SLAC1
PLDALPHA1	PA
RGD3	CUC1
LYS KETOGLUTARATE REDUCTASE/SACCHAROPINE DEHYDROGENASE	FIRST TWO STEPS OF LYS CATABOLISM
TREPH1	TOUCH-INDUCED DELAY OF BOLTING
ATPIS1	MYO-INOSITOL AND CDP-DG
RNA	DNA METHYLATION
MEA, FIS2	HEART EMBRYO STAGE
MTSF1	3' END OF MATURE MITOCHONDRIAL MRNAS
ILI1	PRE1
CFK1	CSN
ATTRM5	NUCLEUS
CEQORH	IMPORT INTO INNER CHLOROPLAST ENVELOPE MEMBRANE
NDPK2	COTYLEDON OPENING
NONEXPRESSER OF PR GENES 1/NONINDUCIBLE IMMUNITY 1	BTH POTENTIATION
ATWAKL10	
AIM1	2,4-DIPHENOXYBUTYRIC ACID
SUCROSE	PC AND CAB MRNA ACCUMULATION
EPIBL	RAV1 TRANSCRIPTION
RIBULOSAMINE KINASE	RIBULOSE-EPSILON-LYSINE
CPFTSY	PROTEINS
NDH COMPLEX	PHOTOSYSTEM I CYCLIC ELECTRON TRANSPORT
TRANSGENIC ARABIDOPSIS PLANTS	TRANSDIFFERENTIATION OF CELLS INTO XYLEM VESSEL ELEMENTS
ATET2	EXPRESSION OF GASA4
SOLUBLE PATTERN GENERATION	PRR-MEDIATED IMMUNE ACTIVATION
MED16	SAR
ATGCN2	UNCHARGED TRNA MOLECULES
ATTRE1	PLASMA MEMBRANE
CAM	PROTEIN PHOSPHATASE
HSP90C	CHAPERONE COMPLEX
ATPRX72 MUTANT PLANTS	LIGNIN CONTENT
NSE4A	DNA DAMAGE
TIR3 GENE	TRANSPORT INHIBITORS
ETR1	RTE1
HSFA1A	HSFA1B
EXT-PRXS	ROOT HAIR GROWTH
ATENGASE85B	N-GLYCANS CARRYING A SINGLE GLCNAC
NTMYBA1/NTMYBA2	MITOSIS-SPECIFIC ACTIVATOR ELEMENTS
PKDM7B	FLOWERING LOCUS T AND TWIN SISTER OF FT
GENE	VEGETATIVE ROSETTES
GENE	GDP-L-GALACTOSE
SECGFP	WEAK FLUORESCENCE SIGNAL
CMV-DELTA2B	ARABIDOPSIS MUTANTS
CSI1	CSI3 DYNAMICS
MEP PATHWAY	POSTTRANSCRIPTIONAL CONTROL
AUXIN	SUBCELLULAR LOCALIZATION OF PTRE1
ATRAN1	STRESS-RESPONSIVE GENES
PHT2;1	61-KD PROTEIN
PEP COMPLEX	OBGC MUTANT
GL3/GL1	RBR1
CROOKED	PLANT HOMOLOG OF ARPC5
LSD1	SCAFFOLD PROTEIN
ATSAR1	ER-TO-GOLGI TRANSPORT OF PROTEINS
HYL1	RNA DECAY
PP7	NUCLEAR LOCALIZATION SIGNAL
HAE/HSL2	ADPG2 EXPRESSION
ATTIP1;1 KNOCKOUT MUTANT	ON GLYCEROL-CONTAINING MEDIUM
SPF2	MALE AND FEMALE GAMETE AND EMBRYO DEVELOPMENT
ATSKIP31	14-3-3S
ZIPPY	TRANSGENE SILENCING
PROC1	ROOT HAIR TIPS
ANTISENSE CONSTRUCTS	RNS1 AND RNS2 MRNA
PMSF	HIS6-DAP1/2
GTE11	BT2
PBL13	MAPKS
NECROSIS- AND ETHYLENE-INDUCING PEPTIDE 1 (NLP1)	ION LEAKAGE
ANAC071	XTH20 PROMOTER
NFXL2	SHN2
PEN3	SITES OF PATHOGEN DETECTION
P(I)	F26BPASE ACTIVITY
CDB1L	CHLOROPLASTS AND MITOCHONDRIA
SYD	SHOOT APICAL MERISTEM IDENTITY
MALECTIN DOMAIN	CORK1 FUNCTION
CAT3, CAT6, CAT8	NEUTRAL OR ACIDIC AMINO ACIDS
NADK3	NADPH
AAE13 GENE	PLANT GROWTH
35S PROMOTER	SHI OPEN READING FRAME
FLS2	IMMUNITY
ARP1	DELAYED SEED GERMINATION
PHABULOSA	ADAXIALIZATION
GA	GERMINATION
SBT5.2 MUTANTS	ENHANCED DEFENCE
LOSS-OF-FUNCTION MUTANT LINES	TOXIC EFFECTS OF PHENANTHRENE
MYB-LIKE TRANSCRIPTION FACTORS	MED25
SRL1	PHYB-SIGNALING PATHWAY
VND7	VND2-VND5
TEMPERATURE REDUCTION	TRANSCRIPTIONAL AND AS ACTIVITY
AIP1	ABAP1
MIR165	PHENOTYPES REMINISCENT OF LOSS-OF-FUNCTION MUTANTS
LHY	JMJ14
STARCH	DEBRANCHING ENZYME ACTIVITY
GPT1-2	MUTATION
LDIP	LD NUMBERS AND SIZES
COI1	JAZ1
RECOMBINANT ATNMT1	HIGH CATALYTIC EFFICIENCY
ATSUMO1/2	
CYP703	CONVERSION
INO80	NRP
VPS38	STARVATION-INDUCED AUTOPHAGY
ECA3	ROOT TIPS, ROOT VASCULAR TISSUE, HYDATHODES, GUARD CELLS
FB1 SUSCEPTIBILITY	DARK
BCE2	PRIMARY SEQUENCE
PYL8/RCAR3	ABA HYPERSENSITIVITY
AFH14	MICROTUBULES AND MICROFILAMENTS
G3P	TRANSLOCATION OF DIR1
MUTANTS	CADMIUM
HELICASE	DEAD/H FAMILY
2'-PHOSPHATE GROUP	NAD
PGX3	STOMATAL OPENING
VPS26	VSR
WRKY4	C-TERMINAL WRKY DOMAIN
MS8	INTINE DEVELOPMENT
AUX/LAX GENES	SUBFUNCTIONALIZATION
RECOMBINANT ATBIOF PROTEIN	SUBSTRATES AND PRODUCT
VCS	AXR1-3 VCS DOUBLE MUTANTS
GENE	DEVELOPMENTAL PROGRAM
PRL1	MOS4-ASSOCIATED COMPLEX
SGS2	QDE-1
NTR FAMILY	OLIGOPEPTIDE TRANSPORTER
RIE1	359 AMINO ACID RESIDUES
LON2	MATRIX PROTEIN IMPORT
PUB12/13	CHITIN RECEPTOR COMPLEX
ATGYRA/ATGYRB2	IN BACULOVIRUS EXPRESSION SYSTEM
ATHSP90-5	BIOMEMBRANE
PP2-A1	PHLOEM SAP GLYCOPROTEINS
MYB/BHLH	DEVELOPMENTAL PROCESSES
GENES	IN SOLANACEOUS SPECIES
CESTRIN	PM CSCS
TRM4B	MAIGO5 MRNA
ERF2, ZAT10, MYB73, WRKY18	ENRICHED
AUX1	AUXIN TRANSPORT
ACYL-COA	DGAT ACTIVITY
CHIMERIC REPRESSOR	RADIALLY EXPANDED OR SWOLLEN CELLS
APS4 MRNA	SIMILAR STEADY-STATE LEVEL IN ROOTS AND LEAVES
PLD ZETA 1	PIP(2)
MIK2	RESISTANCE TO FUSARIUM OXYSPORUM
EPOXIDE HYDROLASES	MICROSOMAL AND CYTOSOLIC SUBCELLULAR FRACTIONS
PPSB	AMINO ACID BIOSYNTHESIS
ENOLASE- AND ALDOLASE-YELLOW FLUORESCENT PROTEIN FUSIONS	IN ARABIDOPSIS PROTOPLASTS
LRR-RLKS	VARIOUS LIGANDS
ETHYLENE SIGNAL TRANSDUCTION PATHWAY	LEAF SENESCENCE
FUT1	ITSELF
PKSA/B	MALONYL-COA
STM	CUC2 EXPRESSION
ATTLP18.3	PHOSPHATASE
CPD MUTATION	CELL ELONGATION
AFP2	ABI5
SSII	TOTAL AMYLOSE
WEE1	CELL CYCLE IN G2-PHASE
FLC/FLM/MAF2	MULTIPLE FLOWERING PATHWAYS
HVSF11	AT5G08370
ARID1	DUO1 EXPRESSION
UGT87A2	PROTEIN PRODUCTS
ARR7	ACTIVE FORM
MSI4	CUL4-DDB1
CKIS	CELL CYCLE PROGRESSION
NICOTIANAMINE	POLLEN GERMINATION
GA1	GNC/GNL EXPRESSION
UGE3	CYTOPLASM
PCN	PINOID EXPRESSION
KAN	CAMV 35S PROMOTER
PMDH	CO2 RELEASE
ETHYLENE-INSENSITIVE5	PTGS
PGK1	PGK3.2
PLANT	RETARDED ELONGATION OF INFLORESCENCE
MAZ1	EARLY ANTHER DEVELOPMENT
STROMULES	PROCESSES
SPI-1	MEMBER OF I9 INHIBITOR FAMILY
IAA	AUX1
ADA2A	PLANT TISSUES
CSN1	EXPRESSION OF TSA1
ATGA2OX8	DWARF PHENOTYPE
AHL1	MAR
SEIPIN	ER-LD JUNCTIONS
PUP3	CHROMOSOME 5
ATPGF10	EXO-TYPE PG ACTIVITY
NRT2.1	LR GROWTH
VAR2	OTHER FSTHS
CYP83B1	IAA HOMEOSTASIS
AUXIN	INTERACTION BETWEEN ABP1 AND TMK
T-DNA-INSERTED MUTANTS	GLYCOSYLTRANSFERASE GENES
ATCCME	LAND PLANT MITOCHONDRIA AND ALPHA-PROTEOBACTERIA
ECH	TGN STRUCTURE
ATKPNB1	ABA RESPONSE AND DROUGHT TOLERANCE
ATCNGC2	CYCLIC NUCLEOTIDE
POK1	CDZ/CDS
LOX1	PST DC3000
ATRAD50	FLOWERS AND OTHER TISSUES WITH MANY DIVIDING CELLS
ATCYSD1/ATCYSD2	CYTOPLASM
SCL23	MINERAL TRANSPORT
EFS/PAF1-LIKE COMPLEX	EXPRESSION OF FLC, FLC-LIKE GENES AND ADJACENT GENES
FTL1/DDF1	STRESS-RESPONSIVE GENES
FUSCA MUTANTS	ENVIRONMENTAL AND ENDOGENOUS FACTORS
MRL7-L	CHLOROPLAST STROMA
H3.3	ENDOSPERM
ATGALT29A	ATGALT31A
FRI	FLC
XTC1	MORPHOGENESIS
CLPP6	CHLOROPLAST DEVELOPMENT AND FUNCTION
ABA	SOM EXPRESSING
ATPMEAMT	PHOSPHATIDYLMETHYLETHANOLAMINE
CGF2	FEMALE GAMETOGENESIS
RB PROTEIN	CELL PROLIFERATION
NERD1	PLASMA MEMBRANE UNDULATION
CONFORMATIONAL TRANSITION	SUBSTRATE SPECIFICITY
SUPPRESSOR OF SALICYLIC ACID INSENSITIVITY2 (SSI2)	ARABIDOPSIS RESISTANCE TO GPA
SA	S3H
HRU1	ROP2
TPI	GSSG
ATRBOHD/F	MJ-INDUCED STOMATAL CLOSING
GAMMA(1)	PHOTOSYNTHESIS
RFO2, RFO4, RFO6	RFO1(COL-0)
SYN1	SCHIZOSACCHAROMYCES POMBE RAD21
UGE5	CYTOPLASM
GENE	EXPRESSION
WOUNDING	EXPRESSION OF HORMONE BIOSYNTHESIS AND RESPONSE GENES
PFS2 MUTATION	MATERNAL TRAIT
CK SIGNALING	DROUGHT TOLERANCE
DICER-LIKE	VIRAL RNA
URH1	NUCLEOSIDASES
SUCROSE	LUMINESCENCE
PALD	LIPID DROPLETS
PIN1	ATNSF
ETR1	ERS2
PRR3	TOC1-ZTL INTERACTION
M3 LINES	M2 PLANTS
AT5G39790	
EIF4A-III	NUCLEOPLASMIC FRACTION
GASA5	GA RESPONSES
ATG1A	NUTRIENT DEMANDS
DRM2	DNA METHYLATION
HDA15	PHOTOSYNTHESIS
ATMTR4	NUCLEOLI
ATPPME1	PECTIN METHYLESTERASES
ATALN	ALLANTOIN
ATMSH2	VARIOUS DNA LESIONS
PYR/PYL/RCAR	ABA-INHIBITION OF STOMATAL OPENING
SDD1 GENE	SUBTILISIN-LIKE SERINE PROTEASE
ATMCM8 DSB REPAIR DEFECT	ABSENCE OF DMC1
VPS26	VPS35
ATIPK2BETA	POLLEN TUBE GUIDANCE
IAA	ALF3-1 MUTANT
FMO(GS-OX2)	METHYLTHIOALKYL GSL
HOPD1	ETI RESPONSES
HSP90	R PROTEIN ACCUMULATION
AFBA1-OX	ABA, SALT, MANNITOL
ATUSP	UDP-GLCA
TTL	BRI1
HCA	AUXIN AND CYTOKININ RESPONSE
COLUMBIA	LFR
ATR	PERSISTENCE OF RESPONSE
ARABIDOPSIS	ESCHERICHIA COLI
PHABULOSA	RADIAL PATTERNING
NDR1	PLASMA MEMBRANE
LACS1/LACS2	CUTIN/CUTICULAR WAX BIOSYNTHESIS
ZIG	SNARE
DEK3	HISTONES H3 AND H4
ARABIDOPSIS THALIANA MUTANT BOR1-1	BORON DEFICIENCY
DONGLE (DGL)	STRONG GALACTOLIPASE AND WEAK PHOSPHOLIPASE A(1) ACTIVITY
ROS	PAMPS
ATFPG-2	DNA TREATED WITH VISIBLE LIGHT IN PRESENCE OF METHYLENE BLUE
FHY1	PHYA
EIF4B	MRNA
DHU1	COP1
KEG	EDR1-MEDIATED PHENOTYPES
RUS2/WXR1	PIN PROTEINS
APG7	AUTOPHAGY
GALPHA	RESISTANCE TO NECROTROPHIC PATHOGENS
KNS2	SUCROSE PHOSPHATE SYNTHASE
GAUT13	POLLEN TUBE GROWTH
EGY1	PLASTID METALLOPROTEASE
PIF7	GROWTH-RELATED GENE EXPRESSION
COP1	PHYSIOLOGICAL TARGETS
PGR7	CHLOROPLAST PROTEIN
GIM2	GA(12)
UBP6	UBIQUITIN CHAINS
ATLRGB	LEAVES
DC3000	CLONED AVIRULENCE GENES AVRB, AVRRPM1, AVRRPT2, AND AVRPPH3
XCP2	DENSE AGGREGATES
ATG8	UIM
FK	INTERMEDIATES IN BIOSYNTHETIC PATHWAY
ATRFC1	DNA DOUBLE-STRAND BREAK REPAIR
NPH1/NPL1	CHLOROPLAST MOVEMENT
ATRPB15.9	PROTEIN
POL IVB	NUCLEOLUS
AT-CDA1	SIMILAR TO HUMAN/E. COLI ENZYMES
MP	TMO5
WRR4 PROTEIN	FUNCTIONAL EXPRESSION OF EDS1
ABA2	CONVERSION OF XANTHOXIN TO ABSCISIC ALDEHYDE
GGLT1	L-GALACTOSE IN SIDE-CHAIN A OF RG-II
GASA10	SILIQUE ELONGATION
S3H	SA
MYO11C1/MYO11C2	SEED SET
PGK3	TRIOSE-PHOSPHATE TRANSPORTER
EIF4A-III	SODIUM AZIDE
TBP	TAFS
STEROLS	REGULATED CELL GROWTH AND ORGANIZATION
GIM2	GA- AND/OR ABA-RELATED GENES
MET1 MUTATION	LOSS OF DNA METHYLATION
RXC3	MRC-J
CYCLOPROPYLSTEROL ISOMERASE1-1 (CPI1-1)	PIN2 DISAPPEARANCE
SIGNALING GENES	LIGHT
RID2	NUCLEOLAR ACTIVITY FOR PRE-RRNA PROCESSING
HYDROXOCOBALAMIN	ROOT PHENOTYPE
P118	REGULATORY SUBUNIT
PRORP	MATURATION OF SMALL NUCLEOLAR RNA AND MRNA
PYR/PYL	CAR PROTEINS
CELL CYCLE PROGRESSION	REGULATION OF PATTERN OF CELL DIVISION AND DIFFERENTIATION
ARF17 GENE	AGO1-3 HYPOCOTYLS
35S	EXOGENOUS ABA
ATVTL2	FE TRANSPORT INTO VACUOLES
ECTOPIC FAMA EXPRESSION	STOMATAL CHARACTER
BIK1	IMMUNE RESPONSES
FPA	FLIP
CAX1/CAX3 DOUBLE MUTANTS	LEAF TIP AND FLOWER NECROSIS
HMA4	VASCULAR TISSUES
TOC1	ZTL
KO-NUDX6	PYROPHOSPHOHYDROLASE ACTIVITY
ARABIDOPSIS MITOCHONDRIA	NUCLEAR COMPARTMENT
AUF1	TO CYTOKININ
TPR	GAF1
EYFP	PROTEINS
ALB4	ALB3
ADH	OXYGEN DEPRIVATION
GENE	PLASTID
TARGET MIMICRY	MIR156 ACTIVITY
PEROXISOMAL ABC TRANSPORTER1	DGAT3 IN PARTITIONING OF 18:3 INTO TAG
MYOSIN XI-I	NUCLEAR MEMBRANE
EXP14	LATERAL ROOT EMERGENCE
IKU1	IKU2, MINI3
GENE	CIRCADIAN CLOCK FUNCTION
CYP716A2	ALPHA-AMYRIN
SEC15	POLLEN-PISTIL INTERACTIONS
ATTCP15	ENDOREDUPLICATION
ALF4-1	INITIATION OF LATERAL ROOTS
ARGAH1	ARGINASE
ACT1	DYNAMICS OF ACTIN AND ACTIN-ASSOCIATED PROTEINS
ATCCR4A/B	PHYSIOLOGICAL EFFECTS
TWO PROTEINS	NOVEL SEQUENCES
TES MUTANTS	DEVELOPMENTAL PROGRAMMES
JAH3 MUTANTS	ET-INDUCED ROOT GROWTH INHIBITION
GENE	CORE FATTY-ACID BIOSYNTHETIC ENZYMES
NDH45	NDH COMPLEX
TCP14	LEAF BLADE
CNGC5 	CGMP-ACTIVATED NONSELECTIVE CA(2+)-PERMEABLE CATION CHANNELS
KNOLLE	MEMBRANE FUSION IN ARABIDOPSIS CYTOKINESIS
DEK1	T-DNA INSERTION
CIPK1	OSMOTIC STRESS RESPONSE
LYCOPENE, ALPHA-CAROTENE	TRANSGENIC PLANTS
AT4 G10540	PHYTASPASE
RSW3	VIRULENT BACTERIAL PHYTOPATHOGEN
PROFILIN	NUCLEATION
G6PD5.4	C4H/CYP73A5
RNA-DNA HYBRID	REPRESSED LOCI
SAY1	C-TERMINAL CYS-MOTIF AND THR44
HISTONE MODIFICATION	GENE EXPRESSION
ATMTATP6	RESISTANCE TO STRESSES
T-DNA MUTANTS	MODERATELY HIGH LEVELS OF 16RATIO1DELTA7 AND 18RATIO1DELTA9
BSS1/BOP1	TRANSPORT OF BIL1/BZR1 TO NUCLEUS
CO/GIGANTEA	CO TRANSCRIPT ACCUMULATION
ARF1A1C	PIN RECYCLING
PRE1	TRANSCRIPTIONAL ACTIVITY OF ACES
ATYBEY	CHLOROPLAST RRNAS, MESSENGER RNAS, AND TRANSFER RNAS IN VITRO
MRL1	RBCL
CPN10	LIGHT
BRI1-119	CELL GROWTH
DEK1	ENDOSPERM AND EMBRYO
CBL5	HIGH SALT/DROUGHT TOLERANCE
IAA	XYLEM DIFFERENTIATION
FARNESYLTRANSFERASE	DROUGHT TOLERANCE
PGN FRAGMENTS	RESPONSES ASSOCIATED WITH PLANT IMMUNITY
STOP1	ATALMT1
HEC	SPT
STM/BP	MERISTEM FUNCTION
MIRNA	MAIN ROOT GROWTH
SDHAF4	SDH ACTIVITY
ORE1	GLK1
ATPAP23 OVEREXPRESSION LINES	FE AND MN CONTENTS
ATTRAPPC11/ROG2	TGN INTEGRITY
ATARV1P	BIPARTITE ARV1 HOMOLOGY DOMAIN
RB-BOX	FRF1
CHLOROPLAST	PROTEINS
PGX2	SECONDARY WALL FORMATION
PHYA	CRY2 LEVELS
PK(P)	PKPBETA(1)PKPALPHA
ATLIG1 ISOFORM	INTERNAL BIPARTITE NUCLEAR LOCALIZATION SIGNAL
KO-ATPRXII F	ROOT GROWTH UNDER STRESS CONDITIONS
TOR1	MAP-BASED APPROACH
DRP2B	DRP1A
BRXL	BRX
ATEBP	METHYL JASMONATE TREATMENTS
PKS3	ABA RESPONSES
DRM2	SIRNAS
ATTZF1	RNA MOLECULES
TWINKLE	TWINKLE MUTANTS
260-BP FRAGMENT	8-BP MOTIF
ATVLN4	ROOT HAIR GROWTH
DITHIOTHREITOL	ZEAXANTHIN-DEPENDENT COMPONENT OF NPQ REDUCED
PUTATIVE ATPLC1 PROTEIN	PHOSPHATIDYLINOSITOL 4,5-BISPHOSPHATE
REC1	SIZE OF CHLOROPLAST COMPARTMENT
ATUNE12	SALT STRESS
DNA METHYLATION	TRANSCRIPTIONAL SILENCING
SGR1/2	CHLOROPHYLL A
ABC1K1	CAROTENOID LEVELS
AT5G59220	NUCLEUS & CYTOSOL & MICROSOMAL PELLETS
ATFTSZ2-1	CHLOROPLAST DIVISION
TOR KINASE	ABA METABOLISM
LAM	PLANT DEFENSE
UPS1	GENES REGULATED BY SALICYLIC ACID AND JASMONIC ACID/ETHYLENE PATHWAYS
SUF4	FRL1
ARP7	FLOWER DEVELOPMENT
ATPPR4	EMBRYO DEVELOPMENT
MECHANICAL WOUNDING	ATTPS03 EXPRESSION
DUF860	IN VITRO
XYL1	ALPHA-XYLOSIDASE
BHLH	TRY
ENZYMES	MITOCHONDRIA
PGDH	CHROMOSOME 1
ATYAK1	PHOSPHORYLATION STATUS OF ANNEXIN FAMILY PROTEINS
IGI1	CYP79B2
NUP82	RAE1
GLU-TRNA REDUCTASE	GLU-TRNA TO GLUTAMATE 1-SEMIALDEHYDE
EXGT-A1	ACL5 MUTATION
HUA1	AG
GA	ABERRANT DIFFERENTIATION STATE
GATA23	LATERAL ROOT FOUNDER CELL IDENTITY
ROPGEF4	ROP11 DIFFUSION
CHROMOSOMAL SUBDOMAINS	
HIT5	PFT
CYP81F2	CIS- AND TRANS-ACTING EXPRESSION QTL
ATMBAC1	SEEDLINGS
SDE3	SILENCING VIRUSES, TRANSPOSONS OR RECENTLY DUPLICATED GENES
ADK1	92% AMINO ACID IDENTITY WITH ADK2
BOP1	AS2 AND LOB
ATPRX53	PLANT MORPHOLOGY AND NEMATODE SUSCEPTIBILITY
PFS2	PRESSED FLOWER AND WUSCHEL PROTEINS
MIR156	SPL MRNAS
HY5	ANTHOCYANIN BIOSYNTHETIC GENE PROMOTERS
UGT76C2	EXOGENOUSLY APPLIED CYTOKININ
SXD1	DMPBQ
IKU2	MINI3-1 BACKGROUND
RRC1	PHOTOMORPHOGENESIS
ABA/GA	ERF55/ERF58
NCA2	COEXPRESSION NETWORK
GA	PLANT GROWTH AND DEVELOPMENT
ATCLC-D	VHA-A1 SUBUNIT
LFR	ALL CELL LAYERS OF THE ANTHER
AKIN10	SUGAR SIGNALING
PRH-19/PRH-26/PRH-43	FUNGAL, YEAST AND BACTERIAL PAPS REDUCTASES
P35S	CPGI
HIS-121	KINASE FUNCTION
QRT3	TAPETUM
VCS	LEAF DEVELOPMENT
CALCIUM	CELLULAR PROCESSES
CYP78A5	SHOOT APICAL MERISTEM
ALP1	PCG SILENCING
AGL15	REPRODUCTIVE TISSUES
COP1	UVR8
CBF1	CBF-TARGETED GENES
GPALPHA1	AGBETA1/AGG1
DRMY1	CELL EXPANSION
CIPK6	CHANNEL TRANSLOCATION TO PM
ATTHO1	ENHANCE APASE ACTIVITY
MFP2	LONG CHAIN (C18:0) SUBSTRATES
DDL	ROOT AND SHOOT MERISTEMS
FANCM	CO FORMATION
LOX6	RELATIVE CONTRIBUTION TO JASMONATE SYNTHESIS
HIGH LIGHT/LOW TEMP	ANTHOCYANIN ACCUMULATION
ATROP10	GC-CG BOX
HAB1	RD29B AND RAB18 PROMOTERS
ROF2	NUCLEUS
ELMO1	20 KDA GOLGI MEMBRANE PROTEIN
GENE	PATERNAL EMBRYONIC EXPRESSION OF FAC1
PI-4-P/PI-4,5-P2 RATIO	CYTOSKELETAL ORGANIZATION AND PI SIGNALING PATHWAY
SNRK1.1	FLOWERING
SULTR1;1 PROMOTER	LATERAL ROOT CAP, ROOT HAIRS, EPIDERMIS AND CORTEX OF ROOTS
HDA6	NUCLEOLUS
MGD SYNTHASE ACTIVITY	MGD1 TRANSCRIPT LEVELS
ELF4	MORNING-EXPRESSION
AUF1	AUXIN
IDL7	ROS BURST
PIP5K	FTSZ
TGA6	ROOTS, COTYLEDONS, MESOPHYLL CELLS, VASCULAR TISSUE, TRICHOMES, POLLEN GRAINS
VSRS	12S GLOBULINS
ATVTL1	VACUOLAR MEMBRANE
